Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO_NSTF,F6,30,30,500,30,0.0,2.0351104497439563,3.554917654698884,0.7463594356421914,0.7338146861433928,3.6113514897251786,4.7308524419761575
SCHO_NSTF,F7,30,30,500,30,0.0,4.9591094465339935e-06,0.00011485531679202853,0.00011401812803483542,0.00011210172048880064,7.648843467433775e-05,0.00057313278933524
SCHO_NSTF,F8,30,30,500,30,-12569.487,-7066.771793867693,-5660.913301658583,606.8355446192559,596.6359014839541,-5703.751859330165,-4251.98195859015
SCHO_NSTF,F9,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F10,30,30,500,30,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16
SCHO_NSTF,F11,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F12,30,30,500,30,0.0,0.25049213178611424,1.1359064638172656,0.3678377725278337,0.3616551847662315,1.108602783435523,1.6528324964814178
SCHO_NSTF,F13,30,30,500,30,0.0,1.560759309161089,2.509265244030361,0.42656281391577516,0.41939318037121925,2.538156439263724,2.9979286396384097
SCHO_NSTF,F14,30,30,500,2,1.0,0.9980038377949463,7.182197151531825,4.796229415450999,4.715614776334348,7.365715386282205,12.670505812027402
SCHO_NSTF,F15,30,30,500,4,0.0003,0.00030788962915948053,0.008893652240512659,0.010184414268580097,0.01001323545085483,0.0013940731287377217,0.026171652852631615
SCHO_NSTF,F16,30,30,500,2,-1.0316,-1.0316284531448396,-1.0316284235220772,3.3995181895764357e-08,3.342379360657964e-08,-1.0316284350756022,-1.031628299704665
SCHO_NSTF,F17,30,30,500,2,0.397887,0.3978873909919489,0.397889112579139,2.408269141300121e-06,2.367791146837169e-06,0.397888086764409,0.39789550260796425
SCHO_NSTF,F18,30,30,500,2,3.0,3.0000001258761224,8.897108637972,17.372407220744023,17.080413194316478,3.000004047271579,92.03450038773764
SCHO_NSTF,F19,30,30,500,3,-3.8628,-3.8627796592277917,-3.8625164397918734,0.0013978170708773047,0.0013743226737250635,-3.862774384794762,-3.8551156279111636
SCHO_NSTF,F20,30,30,500,6,-3.322,-3.3222515468007576,-3.2781456031288743,0.06693928389598966,0.0658141737841551,-3.3219827288806876,-3.0767613506480807
SCHO_NSTF,F21,30,30,500,4,-10.1532,-10.147050798342175,-6.035080370953485,3.310229717863255,3.2545916424119237,-5.065001947137901,-2.6260152220152726
SCHO_NSTF,F22,30,30,500,4,-10.4028,-10.39998308723708,-5.884649612062054,3.3362770323423088,3.280201155719515,-4.404767391429742,-1.836295807250752
SCHO_NSTF,F23,30,30,500,4,-10.5363,-10.53332235413177,-5.635730350449879,3.583502607535556,3.52327138328481,-3.832515608460264,-2.417851176976773
SCHO_NFTF,F1,30,30,500,30,0.0,1.1924291990293826e-13,3.746839842547809e-12,6.2058748129778035e-12,6.101566967143813e-12,1.2988615930284011e-12,2.8428600482117162e-11
SCHO_NFTF,F2,30,30,500,30,0.0,4.679714335510071e-09,2.5660176424933466e-08,2.2092456910577127e-08,2.172112866774768e-08,1.8670239665696462e-08,1.0187613068638451e-07
