Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F5,100,27,1026,8000527,30,500,-30.0,30.0,0.0,98.77124833621924,1154810807.9760637,98.77124833621924,7.921120200000587,PASS
F5,100,29,1028,8000529,30,500,-30.0,30.0,0.0,98.77111504134393,1245447822.6571968,98.77111504134393,8.427298900001915,PASS
F5,100,30,1029,8000530,30,500,-30.0,30.0,0.0,98.96945187258386,1072697613.5810804,98.96945187258386,8.665598799998406,PASS
F6,100,1,1000,8000601,30,500,-100.0,100.0,0.0,0.3239801986201097,263296.11192356027,0.3239801986201097,8.844557599994005,PASS
F6,100,2,1001,8000602,30,500,-100.0,100.0,0.0,18.824144055250297,281507.8233896207,18.824144055250297,8.741416799995932,PASS
F6,100,3,1002,8000603,30,500,-100.0,100.0,0.0,19.862693907997393,264835.89164485986,19.862693907997393,12.681918300004327,PASS
F6,100,6,1005,8000606,30,500,-100.0,100.0,0.0,15.735921384653844,286669.85599862033,15.735921384653844,12.670178799991845,PASS
F6,100,4,1003,8000604,30,500,-100.0,100.0,0.0,21.54747758034519,276332.98563615634,21.54747758034519,13.12729109999782,PASS
F6,100,5,1004,8000605,30,500,-100.0,100.0,0.0,18.11019498308007,261498.90353178867,18.11019498308007,13.28372120000131,PASS
F6,100,7,1006,8000607,30,500,-100.0,100.0,0.0,16.71323520202746,283394.3209730586,16.71323520202746,11.743036699990625,PASS
F6,100,8,1007,8000608,30,500,-100.0,100.0,0.0,16.557173253500988,260384.84325325864,16.557173253500988,12.046411300005275,PASS
F6,100,10,1009,8000610,30,500,-100.0,100.0,0.0,17.945769526890704,279016.7715421244,17.945769526890704,12.59097639999527,PASS
F6,100,9,1008,8000609,30,500,-100.0,100.0,0.0,15.92716641528324,274509.87123307225,15.92716641528324,12.826952400006121,PASS
F6,100,12,1011,8000612,30,500,-100.0,100.0,0.0,1.3013235563396433,258927.55703336556,1.3013235563396433,11.305877599996165,PASS
F6,100,13,1012,8000613,30,500,-100.0,100.0,0.0,18.59565530222726,280993.2291786613,18.59565530222726,11.437783000001218,PASS
F6,100,11,1010,8000611,30,500,-100.0,100.0,0.0,18.814819137519695,269976.53857158177,18.814819137519695,11.733947000000626,PASS
F6,100,14,1013,8000614,30,500,-100.0,100.0,0.0,0.2364773242692726,259985.29882483825,0.2364773242692726,11.94783040000766,PASS
F6,100,15,1014,8000615,30,500,-100.0,100.0,0.0,16.41768251750858,294072.3555362036,16.41768251750858,12.801665999999386,PASS
F6,100,16,1015,8000616,30,500,-100.0,100.0,0.0,0.49008191034979554,273229.03181115276,0.49008191034979554,12.99147430001176,PASS
F6,100,17,1016,8000617,30,500,-100.0,100.0,0.0,0.3639884190298737,247828.95979557317,0.3639884190298737,13.493424200001755,PASS
F6,100,18,1017,8000618,30,500,-100.0,100.0,0.0,18.00160766861835,261927.0191506812,18.00160766861835,13.256125200001406,PASS
F6,100,19,1018,8000619,30,500,-100.0,100.0,0.0,17.4445894448183,263816.43123929354,17.4445894448183,10.747141700005159,PASS
F6,100,21,1020,8000621,30,500,-100.0,100.0,0.0,0.3304362095919656,269569.6482853248,0.3304362095919656,10.763721199997235,PASS
F6,100,22,1021,8000622,30,500,-100.0,100.0,0.0,15.581305251643116,285681.93453584245,15.581305251643116,11.471835700009251,PASS
F6,100,20,1019,8000620,30,500,-100.0,100.0,0.0,1.7152344399867308,285023.94819708,1.7152344399867308,11.625693200010573,PASS
F6,100,23,1022,8000623,30,500,-100.0,100.0,0.0,16.070888072099084,281478.36205359205,16.070888072099084,13.776450999997905,PASS
F6,100,24,1023,8000624,30,500,-100.0,100.0,0.0,22.052349387475832,264595.75607748877,22.052349387475832,13.887068700001691,PASS
F6,100,25,1024,8000625,30,500,-100.0,100.0,0.0,17.478356937580305,239836.502804822,17.478356937580305,13.827650499995798,PASS
F6,100,26,1025,8000626,30,500,-100.0,100.0,0.0,18.447465591432902,277305.0376309068,18.447465591432902,13.837985199992545,PASS
