Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F4,simple_multimodal,SCHO,1,1000,30,500,10,400.0,408.1546400308654,8.15464003086538,1279.3723425874587,408.1546400308654,PASS
F4,simple_multimodal,SCHO,2,1001,30,500,10,400.0,412.6261542464647,12.626154246464694,2075.917722455424,412.6261542464647,PASS
F4,simple_multimodal,SCHO,3,1002,30,500,10,400.0,522.7309391931072,122.73093919310725,6419.750201313205,522.7309391931072,PASS
F4,simple_multimodal,SCHO,4,1003,30,500,10,400.0,518.0566385057471,118.05663850574706,10060.622499323477,518.0566385057471,PASS
F4,simple_multimodal,SCHO,5,1004,30,500,10,400.0,472.16727540405145,72.16727540405145,2788.621975789356,472.16727540405145,PASS
F4,simple_multimodal,SCHO,6,1005,30,500,10,400.0,524.4503299671183,124.45032996711825,2978.6486105640115,524.4503299671183,PASS
F4,simple_multimodal,SCHO,7,1006,30,500,10,400.0,525.2908972129098,125.29089721290984,5245.092778418616,525.2908972129098,PASS
F4,simple_multimodal,SCHO,8,1007,30,500,10,400.0,521.3567226498157,121.35672264981565,4401.610319031189,521.3567226498157,PASS
F4,simple_multimodal,SCHO,9,1008,30,500,10,400.0,408.4387083347331,8.438708334733121,2740.9005924705416,408.4387083347331,PASS
F4,simple_multimodal,SCHO,10,1009,30,500,10,400.0,439.985714855107,39.985714855107005,4905.579713947636,439.985714855107,PASS
F4,simple_multimodal,SCHO,11,1010,30,500,10,400.0,492.01329510826673,92.01329510826673,3882.6356778607656,492.01329510826673,PASS
F4,simple_multimodal,SCHO,12,1011,30,500,10,400.0,435.1352742545777,35.13527425457772,2660.107982147829,435.1352742545777,PASS
F4,simple_multimodal,SCHO,13,1012,30,500,10,400.0,407.1799999420222,7.179999942022221,3949.9550639982044,407.1799999420222,PASS
F4,simple_multimodal,SCHO,14,1013,30,500,10,400.0,505.12732671206714,105.12732671206714,2053.484121040191,505.12732671206714,PASS
F4,simple_multimodal,SCHO,15,1014,30,500,10,400.0,401.77832733601184,1.7783273360118415,1502.4478324201582,401.77832733601184,PASS
F4,simple_multimodal,SCHO,16,1015,30,500,10,400.0,571.5969234689154,171.5969234689154,8812.600225754402,571.5969234689154,PASS
F4,simple_multimodal,SCHO,17,1016,30,500,10,400.0,441.574701687126,41.57470168712598,4113.605832498546,441.574701687126,PASS
F4,simple_multimodal,SCHO,18,1017,30,500,10,400.0,437.8846281029545,37.88462810295448,2495.3724635263925,437.8846281029545,PASS
F4,simple_multimodal,SCHO,19,1018,30,500,10,400.0,470.0137665915006,70.0137665915006,3488.2019554535595,470.0137665915006,PASS
F4,simple_multimodal,SCHO,20,1019,30,500,10,400.0,405.2111246263141,5.211124626314074,5067.391716728021,405.2111246263141,PASS
F4,simple_multimodal,SCHO,21,1020,30,500,10,400.0,435.5049145621035,35.50491456210352,5200.55180121156,435.5049145621035,PASS
F4,simple_multimodal,SCHO,22,1021,30,500,10,400.0,435.3180268959132,35.31802689591319,3675.894330858444,435.3180268959132,PASS
F4,simple_multimodal,SCHO,23,1022,30,500,10,400.0,494.47524362936196,94.47524362936196,5102.790316177096,494.47524362936196,PASS
F4,simple_multimodal,SCHO,24,1023,30,500,10,400.0,435.36218588282424,35.362185882824235,5577.01175363165,435.36218588282424,PASS
F4,simple_multimodal,SCHO,25,1024,30,500,10,400.0,434.6134923963681,34.61349239636809,4399.192950399382,434.6134923963681,PASS
F4,simple_multimodal,SCHO,26,1025,30,500,10,400.0,438.88189285189424,38.881892851894236,9190.979674622075,438.88189285189424,PASS
F4,simple_multimodal,SCHO,27,1026,30,500,10,400.0,463.80379180723344,63.80379180723344,4741.442438106252,463.80379180723344,PASS
F4,simple_multimodal,SCHO,28,1027,30,500,10,400.0,437.7704194462976,37.77041944629758,1494.371130170869,437.7704194462976,PASS
F4,simple_multimodal,SCHO,29,1028,30,500,10,400.0,435.34418221757954,35.344182217579544,1185.9775291093522,435.34418221757954,PASS
F4,simple_multimodal,SCHO,30,1029,30,500,10,400.0,439.3751473349027,39.37514733490269,6353.544684081571,439.3751473349027,PASS
F5,simple_multimodal,GWO,1,1000,30,500,10,500.0,520.6389278028564,20.638927802856415,521.3700130378112,520.6389278028564,PASS
F5,simple_multimodal,GWO,2,1001,30,500,10,500.0,520.5453310235918,20.545331023591757,520.8684112861391,520.5453310235918,PASS
F5,simple_multimodal,GWO,3,1002,30,500,10,500.0,520.5387934517098,20.538793451709807,521.31136372606,520.5387934517098,PASS
F5,simple_multimodal,GWO,4,1003,30,500,10,500.0,520.4840150515504,20.484015051550386,521.3308603895632,520.4840150515504,PASS
F5,simple_multimodal,GWO,5,1004,30,500,10,500.0,520.4192977575016,20.419297757501568,521.0867822017799,520.4192977575016,PASS
F5,simple_multimodal,GWO,6,1005,30,500,10,500.0,520.5742856755068,20.574285675506758,521.1801935958541,520.5742856755068,PASS
F5,simple_multimodal,GWO,7,1006,30,500,10,500.0,520.5722560404156,20.572256040415596,521.1242384333996,520.5722560404156,PASS
F5,simple_multimodal,GWO,8,1007,30,500,10,500.0,520.6113224132916,20.611322413291646,520.8855122054679,520.6113224132916,PASS
F5,simple_multimodal,GWO,9,1008,30,500,10,500.0,520.5879311157257,20.587931115725723,520.9936955523906,520.5879311157257,PASS
F5,simple_multimodal,GWO,10,1009,30,500,10,500.0,520.6010712911481,20.60107129114806,521.0364973873624,520.6010712911481,PASS
F5,simple_multimodal,GWO,11,1010,30,500,10,500.0,520.4898711577695,20.48987115776947,521.2393282966497,520.4898711577695,PASS
F5,simple_multimodal,GWO,12,1011,30,500,10,500.0,520.5474203211418,20.54742032114177,521.3356516459125,520.5474203211418,PASS
F5,simple_multimodal,GWO,13,1012,30,500,10,500.0,520.3369506137678,20.33695061376784,521.2223974715257,520.3369506137678,PASS
F5,simple_multimodal,GWO,14,1013,30,500,10,500.0,520.546966053244,20.546966053243978,520.9078424469301,520.546966053244,PASS
F5,simple_multimodal,GWO,15,1014,30,500,10,500.0,520.5911340316172,20.59113403161723,521.3477228333741,520.5911340316172,PASS
F5,simple_multimodal,GWO,16,1015,30,500,10,500.0,520.4831324095155,20.48313240951552,521.3964505399451,520.4831324095155,PASS
F5,simple_multimodal,GWO,17,1016,30,500,10,500.0,520.4056469098776,20.405646909877646,520.964624808352,520.4056469098776,PASS
F5,simple_multimodal,GWO,18,1017,30,500,10,500.0,520.6192250545581,20.619225054558115,521.1268658910126,520.6192250545581,PASS
F5,simple_multimodal,GWO,19,1018,30,500,10,500.0,520.5180573259818,20.518057325981772,521.2263662670794,520.5180573259818,PASS
F5,simple_multimodal,GWO,20,1019,30,500,10,500.0,520.6268894241078,20.626889424107844,521.0064591102581,520.6268894241078,PASS
F5,simple_multimodal,GWO,21,1020,30,500,10,500.0,520.5377812778813,20.537781277881322,520.87818360286,520.5377812778813,PASS
F5,simple_multimodal,GWO,22,1021,30,500,10,500.0,520.5533982595892,20.553398259589244,521.3780022423091,520.5533982595892,PASS
F5,simple_multimodal,GWO,23,1022,30,500,10,500.0,520.5243329418954,20.52433294189541,521.1648733770929,520.5243329418954,PASS
F5,simple_multimodal,GWO,24,1023,30,500,10,500.0,520.5018425553126,20.501842555312578,520.901162835568,520.5018425553126,PASS
F5,simple_multimodal,GWO,25,1024,30,500,10,500.0,520.3955340242211,20.395534024221092,521.1777869702402,520.3955340242211,PASS
F5,simple_multimodal,GWO,26,1025,30,500,10,500.0,520.5299463680489,20.529946368048854,521.0072726380456,520.5299463680489,PASS
F5,simple_multimodal,GWO,27,1026,30,500,10,500.0,520.4861911211137,20.486191121113734,521.0413141509805,520.4861911211137,PASS
F5,simple_multimodal,GWO,28,1027,30,500,10,500.0,520.5101700131241,20.51017001312414,521.360074699043,520.5101700131241,PASS
F5,simple_multimodal,GWO,29,1028,30,500,10,500.0,520.364031592012,20.364031592011997,521.0164543055821,520.364031592012,PASS
F5,simple_multimodal,GWO,30,1029,30,500,10,500.0,520.5832113075182,20.58321130751824,521.1933637870391,520.5832113075182,PASS
F5,simple_multimodal,SCHO,1,1000,30,500,10,500.0,520.480991657192,20.48099165719202,521.3718079458313,520.480991657192,PASS
F5,simple_multimodal,SCHO,2,1001,30,500,10,500.0,520.6673876632215,20.66738766322146,521.1149496184328,520.6673876632215,PASS
F5,simple_multimodal,SCHO,3,1002,30,500,10,500.0,520.7102750232261,20.71027502322613,521.0478040283737,520.7102750232261,PASS
F5,simple_multimodal,SCHO,4,1003,30,500,10,500.0,520.6104200975919,20.61042009759194,521.1278758110338,520.6104200975919,PASS
F5,simple_multimodal,SCHO,5,1004,30,500,10,500.0,520.5590069452672,20.559006945267242,521.1233295587681,520.5590069452672,PASS
F5,simple_multimodal,SCHO,6,1005,30,500,10,500.0,520.4700053123415,20.470005312341527,521.3914248598546,520.4700053123415,PASS
F5,simple_multimodal,SCHO,7,1006,30,500,10,500.0,520.3744956621329,20.37449566213286,521.0950661997709,520.3744956621329,PASS
F5,simple_multimodal,SCHO,8,1007,30,500,10,500.0,520.4293590964501,20.42935909645007,520.9958973586852,520.4293590964501,PASS
F5,simple_multimodal,SCHO,9,1008,30,500,10,500.0,520.6358758310396,20.635875831039584,521.0124818573362,520.6358758310396,PASS
F5,simple_multimodal,SCHO,10,1009,30,500,10,500.0,520.4416538130216,20.441653813021617,521.0878749315992,520.4416538130216,PASS
F5,simple_multimodal,SCHO,11,1010,30,500,10,500.0,520.4184391481714,20.418439148171387,521.3451866315436,520.4184391481714,PASS
F5,simple_multimodal,SCHO,12,1011,30,500,10,500.0,520.4900462599663,20.490046259966334,521.202299700585,520.4900462599663,PASS
F5,simple_multimodal,SCHO,13,1012,30,500,10,500.0,520.2452698288237,20.245269828823666,521.3557447853942,520.2452698288237,PASS
F5,simple_multimodal,SCHO,14,1013,30,500,10,500.0,520.3146871896896,20.314687189689607,521.1406858284583,520.3146871896896,PASS
F5,simple_multimodal,SCHO,15,1014,30,500,10,500.0,520.5028207950406,20.502820795040634,521.298780467642,520.5028207950406,PASS
F5,simple_multimodal,SCHO,16,1015,30,500,10,500.0,520.5135007974275,20.51350079742747,521.2075392812133,520.5135007974275,PASS
F5,simple_multimodal,SCHO,17,1016,30,500,10,500.0,520.4476146133335,20.447614613333485,520.8812574272291,520.4476146133335,PASS
F5,simple_multimodal,SCHO,18,1017,30,500,10,500.0,520.5028891088201,20.502889108820114,521.225076136306,520.5028891088201,PASS
