Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F5,21,1020,4024521,30,500,30,-30,30,0.0,28.809137028708275,320276562.2341088,28.809137028708275,2.004466999991564,PASS
SCHO,F5,22,1021,4024522,30,500,30,-30,30,0.0,28.77121654341793,250438783.368967,28.77121654341793,2.015248800002155,PASS
SCHO,F5,24,1023,4024524,30,500,30,-30,30,0.0,28.856542727366655,272530389.63664186,28.856542727366655,1.9683058999944478,PASS
SCHO,F5,23,1022,4024523,30,500,30,-30,30,0.0,28.00551703205017,224106822.12627918,28.00551703205017,2.0879161000048043,PASS
SCHO,F5,25,1024,4024525,30,500,30,-30,30,0.0,28.919085956738325,197086662.74910796,28.919085956738325,1.9973220999963814,PASS
SCHO,F5,28,1027,4024528,30,500,30,-30,30,0.0,28.66345701966568,306443111.17072505,28.66345701966568,2.007839799989597,PASS
SCHO,F5,27,1026,4024527,30,500,30,-30,30,0.0,28.09403720117838,289149958.1576517,28.09403720117838,2.0211770000023535,PASS
SCHO,F5,26,1025,4024526,30,500,30,-30,30,0.0,28.771134544765356,272825950.8696747,28.771134544765356,2.045741800000542,PASS
SCHO,F6,1,1000,4024601,30,500,30,-100,100,0.0,0.0074982424578407085,67909.83159949695,0.0074982424578407085,1.929670299999998,PASS
SCHO,F5,30,1029,4024530,30,500,30,-30,30,0.0,28.65815052394188,297997041.8303026,28.65815052394188,2.014841600001091,PASS
SCHO,F6,2,1001,4024602,30,500,30,-100,100,0.0,0.08456744454184119,70582.57089954114,0.08456744454184119,2.0597677000041585,PASS
SCHO,F5,29,1028,4024529,30,500,30,-30,30,0.0,27.98136697764828,254911291.89617184,27.98136697764828,2.1275966000102926,PASS
SCHO,F6,3,1002,4024603,30,500,30,-100,100,0.0,0.04027379153814443,71353.455751133,0.04027379153814443,2.3095163000107277,PASS
SCHO,F6,6,1005,4024606,30,500,30,-100,100,0.0,0.0015475686600199517,68955.29999951718,0.0015475686600199517,2.2804923999938183,PASS
SCHO,F6,4,1003,4024604,30,500,30,-100,100,0.0,9.254089880824617e-06,71219.00386103941,9.254089880824617e-06,2.3023240999900736,PASS
SCHO,F6,5,1004,4024605,30,500,30,-100,100,0.0,0.00018198416279354167,71208.03386246378,0.00018198416279354167,2.29757320000499,PASS
SCHO,F6,7,1006,4024607,30,500,30,-100,100,0.0,0.016405333041355066,70011.4366295226,0.016405333041355066,2.2318035999924177,PASS
SCHO,F6,9,1008,4024609,30,500,30,-100,100,0.0,0.0022974956375061578,70501.21762803209,0.0022974956375061578,2.225985299999593,PASS
SCHO,F6,8,1007,4024608,30,500,30,-100,100,0.0,0.20546921029196888,54162.957873925516,0.20546921029196888,2.254553599996143,PASS
SCHO,F6,10,1009,4024610,30,500,30,-100,100,0.0,0.010976554063976532,68295.92181788973,0.010976554063976532,2.2487820999958785,PASS
SCHO,F6,12,1011,4024612,30,500,30,-100,100,0.0,1.6687165379949482e-05,60343.443806650605,1.6687165379949482e-05,2.000499099987792,PASS
SCHO,F6,11,1010,4024611,30,500,30,-100,100,0.0,0.03504463565085693,79935.06488261481,0.03504463565085693,2.0385761999932583,PASS
SCHO,F6,14,1013,4024614,30,500,30,-100,100,0.0,2.7956258237024305,66078.30058116298,2.7956258237024305,2.0388478999957442,PASS
SCHO,F6,13,1012,4024613,30,500,30,-100,100,0.0,0.08513224010176054,68881.92519101789,0.08513224010176054,2.0705099000042537,PASS
SCHO,F6,15,1014,4024615,30,500,30,-100,100,0.0,0.18561222657254603,62157.94499673396,0.18561222657254603,1.9824998000112828,PASS
SCHO,F6,16,1015,4024616,30,500,30,-100,100,0.0,0.005377956466438263,61089.234661411996,0.005377956466438263,2.020238500001142,PASS
SCHO,F6,17,1016,4024617,30,500,30,-100,100,0.0,0.10121694809792026,73031.55585073962,0.10121694809792026,2.011720800001058,PASS
SCHO,F6,18,1017,4024618,30,500,30,-100,100,0.0,0.05686270462951404,70606.59378046433,0.05686270462951404,1.9955368999944767,PASS
SCHO,F6,20,1019,4024620,30,500,30,-100,100,0.0,0.07570082879838462,79344.06586895653,0.07570082879838462,1.9743835999979638,PASS
SCHO,F6,19,1018,4024619,30,500,30,-100,100,0.0,2.5154857621927746,59960.68287322056,2.5154857621927746,1.992055700000492,PASS
SCHO,F6,22,1021,4024622,30,500,30,-100,100,0.0,1.0279552726750343,64215.54876603678,1.0279552726750343,2.0163195000059204,PASS
SCHO,F6,21,1020,4024621,30,500,30,-100,100,0.0,0.239810138498245,81635.30658606326,0.239810138498245,2.0501024999975925,PASS
SCHO,F6,23,1022,4024623,30,500,30,-100,100,0.0,0.010255159892258992,78086.57507584567,0.010255159892258992,1.9320350000052713,PASS
SCHO,F6,25,1024,4024625,30,500,30,-100,100,0.0,0.12339402054556625,56465.69237297281,0.12339402054556625,1.9245436000055633,PASS
SCHO,F6,24,1023,4024624,30,500,30,-100,100,0.0,0.0126101411100778,72276.33926858637,0.0126101411100778,2.000899799997569,PASS
SCHO,F6,26,1025,4024626,30,500,30,-100,100,0.0,0.0001381972249544667,67862.6591007802,0.0001381972249544667,1.9283130999974674,PASS
SCHO,F6,27,1026,4024627,30,500,30,-100,100,0.0,1.460568077678792,68320.91352360474,1.460568077678792,2.058352300009574,PASS
